Czas,AbsSum,Sum
10.837,0.007321763044601082,-0.007321763044601082
10.838,0.010991623365654402,-0.010991623365654402
10.839,0.013486163377103844,-0.013486163377103844
10.84,0.016219424115314185,-0.016219424115314185
10.841,0.020588808342908327,-0.020588808342908327
10.842,0.027332835806262445,-0.027332835806262445
10.843,0.036114811056417784,-0.036114811056417784
10.844,0.04548785646414466,-0.04548785646414466
10.845,0.05327160968259925,-0.05327160968259925
10.846,0.057230358052512864,-0.057230358052512864
10.847,0.05583409312626686,-0.05583409312626686
10.848,0.04884612077975947,-0.04884612077975947
10.849,0.03752868370559803,-0.03752868370559803
10.85,0.024377889178258005,-0.024377889178258005
10.851,0.012452550296954135,-0.012452550296954135
10.852,0.004497610358956794,-0.004497610358956794
10.853,0.002135777384042914,-0.002135777384042914
10.854,0.005385496582594351,-0.005385496582594351
10.855,0.012663339643660287,-0.012663339643660287
10.856,0.021276335336211094,-0.021276335336211094
10.857,0.028254257193076504,-0.028254257193076504
10.858,0.031263976204495614,-0.031263976204495614
10.859,0.029322481573542447,-0.029322481573542447
10.86,0.0230897580034517,-0.0230897580034517
10.861,0.01465573892764227,-0.01465573892764227
10.862,0.006893582048997926,-0.006893582048997926
10.863,0.002583862649000457,-0.002583862649000457
10.864,0.0035796865579932335,-0.0035796865579932335
10.865,0.010262456230884287,-0.010262456230884287
10.866,0.021441256254802865,-0.021441256254802865
10.867,0.03470874197243268,-0.03470874197243268
10.868,0.047128629880104245,-0.047128629880104245
10.869,0.05603727899158262,-0.05603727899158262
10.87,0.0597209232212812,-0.0597209232212812
10.871,0.057783286863014593,-0.057783286863014593
10.872,0.051124394757285474,-0.051124394757285474
10.873,0.041573671985667304,-0.041573671985667304
10.874,0.03131940781761278,-0.03131940781761278
10.875,0.022322937747333294,-0.022322937747333294
10.876,0.01588906848849092,-0.01588906848849092
10.877,0.012495074610597068,-0.012495074610597068
10.878,0.011886022529748907,-0.011886022529748907
10.879,0.013357519173276211,-0.013357519173276211
10.88,0.0160963942903094,-0.0160963942903094
10.881,0.019449262991932392,-0.019449262991932392
10.882,0.023034319535898296,-0.023034319535898296
10.883,0.026683438230071577,-0.026683438230071577
10.884,0.030272024421145072,-0.030272024421145072
10.885,0.033537284229387954,-0.033537284229387954
10.886,0.03598665606467666,-0.03598665606467666
10.887,0.036957732311896585,-0.036957732311896585
10.888,0.03582483558176963,-0.03582483558176963
10.889,0.032280575114470356,-0.032280575114470356
10.89,0.02657874303222918,-0.02657874303222918
10.891,0.0196248634778442,-0.0196248634778442
10.892,0.01284502956402267,-0.01284502956402267
10.893,0.007839009017811982,-0.007839009017811982
10.894,0.005904951208141829,-0.005904951208141829
10.895,0.007581830202436302,-0.007581830202436302
10.896,0.012369469568846325,-0.012369469568846325
